Código,Descripción,Tipo Descripción
M175,OTRAS GONARTROSIS SECUNDARIAS,Diagnóstico (CIEX)
M172,"GONARTROSIS POSTRAUMATICA, BILATERAL",Diagnóstico (CIEX)
M173,OTRAS GONARTROSIS POSTRAUMATICAS,Diagnóstico (CIEX)
M179,"GONARTROSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M180,"ARTROSIS PRIMARIA DE LA PRIMERA ARTICULACION CARPOMETACARPIANA, BILATERAL",Diagnóstico (CIEX)
M181,OTRAS ARTROSIS PRIMARIAS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA,Diagnóstico (CIEX)
M182,"ARTROSIS POSTRAUMATICA DE LA PRIMERA ARTICULACION CARPOMETACARPIANA, BILATERAL",Diagnóstico (CIEX)
M189,"ARTROSIS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
M184,"OTRAS ARTROSIS SECUNDARIAS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA, BILATERALES",Diagnóstico (CIEX)
M185,OTRAS ARTROSIS SECUNDARIAS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA,Diagnóstico (CIEX)
M183,OTRAS ARTROSIS POSTRAUMATICAS DE LA PRIMERA ARTICULACION CARPOMETACARPIANA,Diagnóstico (CIEX)
M190,ARTROSIS PRIMARIA DE OTRAS ARTICULACIONES,Diagnóstico (CIEX)
M191,ARTROSIS POSTRAUMATICA DE OTRAS ARTICULACIONES,Diagnóstico (CIEX)
M192,ARTROSIS SECUNDARIA DE OTRAS ARTICULACIONES,Diagnóstico (CIEX)
M198,OTRAS ARTROSIS ESPECIFICADAS,Diagnóstico (CIEX)
M203,OTRAS DEFORMIDADES DEL HALLUX (ADQUIRIDAS),Diagnóstico (CIEX)
M204,OTRO (S) DEDO (S) DEL PIE EN MARTILLO (ADQUIRIDOS),Diagnóstico (CIEX)
M200,DEFORMIDAD DE DEDO (S) DE LA MANO,Diagnóstico (CIEX)
M199,"ARTROSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M201,HALLUX VALGUS (ADQUIRIDO),Diagnóstico (CIEX)
M202,HALLUX RIGIDUS,Diagnóstico (CIEX)
M205,OTRAS DEFORMIDADES (ADQUIRIDAS) DEL (DE LOS) DEDO (S) DEL PIE,Diagnóstico (CIEX)
M206,"DEFORMIDADES ADQUIRIDAS DE LOS DEDOS DEL PIE, NO ESPECIFICADAS",Diagnóstico (CIEX)
M210,"DEFORMIDAD EN VALGO, NO CLASIFICADA EN OTRA PARTE",Diagnóstico (CIEX)
M211,"DEFORMIDAD EN VARO, NO CLASIFICADA EN OTRA PARTE",Diagnóstico (CIEX)
M212,DEFORMIDAD EN FLEXION,Diagnóstico (CIEX)
M213,MUNECA O PIE EN PENDULO (ADQUIRIDO),Diagnóstico (CIEX)
M214,PIE PLANO,Diagnóstico (CIEX)
M215,"MANO O PIE EN GARRA O EN TALIPES, PIE EQUINOVARO O ZAMBO ADQUIRIDOS",Diagnóstico (CIEX)
M216,OTRAS DEFORMIDADES ADQUIRIDAS DEL TOBILLO Y DEL PIE,Diagnóstico (CIEX)
M217,LONGITUD DESIGUAL DE LOS MIEMBROS (ADQUIRIDA),Diagnóstico (CIEX)
M218,"OTRAS DEFORMIDADES ADQUIRIDAS DE LOS MIEMBROS, ESPECIFICADAS",Diagnóstico (CIEX)
M219,"DEFORMIDAD ADQUIRIDA DEL MIEMBRO, NO ESPECIFICADA",Diagnóstico (CIEX)
M220,LUXACION RECIDIVANTE DE LA ROTULA,Diagnóstico (CIEX)
M221,SUBLUXACION RECIDIVANTE DE LA ROTULA,Diagnóstico (CIEX)
M222,TRASTORNOS ROTULOFEMORALES,Diagnóstico (CIEX)
M223,OTROS DESARREGLOS DE LA ROTULA,Diagnóstico (CIEX)
M224,CONDROMALACIA DE LA ROTULA,Diagnóstico (CIEX)
M228,OTROS TRASTORNOS DE LA ROTULA,Diagnóstico (CIEX)
M229,"TRASTORNO DE LA ROTULA, NO ESPECIFICADO",Diagnóstico (CIEX)
M230,MENISCO QUISTICO,Diagnóstico (CIEX)
M231,MENISCO DISCOIDE (CONGENITO),Diagnóstico (CIEX)
M232,TRASTORNO DE MENISCO DEBIDO A DESGARRO O LESION ANTIGUA,Diagnóstico (CIEX)
M233,OTROS TRASTORNOS DE LOS MENISCOS,Diagnóstico (CIEX)
M234,CUERPO FLOTANTE EN LA RODILLA,Diagnóstico (CIEX)
M235,INESTABILIDAD CRONICA DE LA RODILLA,Diagnóstico (CIEX)
M236,OTRA RUPTURA ESPONTANEA DEL (DE LOS) LIGAMENTO (S) DE LA RODILLA,Diagnóstico (CIEX)
M239,"TRASTORNO INTERNO DE LA RODILLA, NO ESPECIFICADO",Diagnóstico (CIEX)
M240,CUERPO FLOTANTE ARTICULAR,Diagnóstico (CIEX)
M238,OTROS TRASTORNOS INTERNOS DE LA RODILLA,Diagnóstico (CIEX)
M241,OTROS TRASTORNOS DEL CARTILAGO ARTICULAR,Diagnóstico (CIEX)
M242,TRASTORNO DEL LIGAMENTO,Diagnóstico (CIEX)
M243,"LUXACION Y SUBLUXACION PATOLOGICA DE LA ARTICULACION, NO CLASIFICADA EN OTRA PARTE",Diagnóstico (CIEX)
M244,LUXACION Y SUBLUXACION RECIDIVANTE DE LA ARTICULACION,Diagnóstico (CIEX)
M245,CONTRACTURA ARTICULAR,Diagnóstico (CIEX)
M246,ANQUILOSIS ARTICULAR,Diagnóstico (CIEX)
M247,PROTRUSION DE ACETABULO,Diagnóstico (CIEX)
M248,"OTRAS LESIONES ARTICULARES ESPECIFICAS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
M250,HEMARTROSIS,Diagnóstico (CIEX)
M251,FISTULA ARTICULAR,Diagnóstico (CIEX)
M249,"DESARREGLO ARTICULAR, NO ESPECIFICADO",Diagnóstico (CIEX)
M252,ARTICULACION INESTABLE,Diagnóstico (CIEX)
M253,OTRAS INESTABILIDADES ARTICULARES,Diagnóstico (CIEX)
M254,DERRAME ARTICULAR,Diagnóstico (CIEX)
M256,"RIGIDEZ ARTICULAR, NO CLASIFICADA EN OTRA PARTE",Diagnóstico (CIEX)
M257,OSTEOFITO,Diagnóstico (CIEX)
M255,DOLOR EN ARTICULACION,Diagnóstico (CIEX)
M258,OTROS TRASTORNOS ARTICULARES ESPECIFICADOS,Diagnóstico (CIEX)
M259,"TRASTORNO ARTICULAR, NO ESPECIFICADO",Diagnóstico (CIEX)
M300,POLIARTERITIS NUDOSA,Diagnóstico (CIEX)
M301,POLIARTERITIS CON COMPROMISO PULMONAR [CHURG-STRAUSS],Diagnóstico (CIEX)
M302,POLIARTERITIS JUVENIL,Diagnóstico (CIEX)
M303,SINDROME MUCOCUTANEO LINFONODULAR [KAWASAKI],Diagnóstico (CIEX)
M308,OTRAS AFECCIONES RELACIONADAS CON LA POLIARTERITIS NUDOSA,Diagnóstico (CIEX)
M310,ANGIITIS DEBIDA A HIPERSENSIBILIDAD,Diagnóstico (CIEX)
M311,MICROANGIOPATIA TROMBOTICA,Diagnóstico (CIEX)
M312,GRANULOMA LETAL DE LA LINEA MEDIA,Diagnóstico (CIEX)
M313,GRANULOMATOSIS DE WEGENER,Diagnóstico (CIEX)
M314,SINDROME DEL CAYADO DE LA AORTA [TAKAYASU],Diagnóstico (CIEX)
M315,ARTERITIS DE CELULAS GIGANTES CON POLIMIALGIA REUMATICA,Diagnóstico (CIEX)
M316,OTRAS ARTERITIS DE CELULAS GIGANTES,Diagnóstico (CIEX)
M317,POLIANGIÍTIS MICROSCÓPICA,Diagnóstico (CIEX)
M318,OTRAS VASCULOPATIAS NECROTIZANTES ESPECIFICADAS,Diagnóstico (CIEX)
M319,"VASCULOPATIA NECROTIZANTE, NO ESPECIFICADA",Diagnóstico (CIEX)
M320,"LUPUS ERITEMATOSO SISTEMICO, INDUCIDO POR DROGAS",Diagnóstico (CIEX)
M328,OTRAS FORMAS DE LUPUS ERITEMATOSO SISTEMICO,Diagnóstico (CIEX)
M321,LUPUS ERITEMATOSO SISTEMICO CON COMPROMISO DE ORGANOS O SISTEMAS,Diagnóstico (CIEX)
M329,"LUPUS ERITEMATOSO SISTEMICO, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
M330,DERMATOMIOSITIS JUVENIL,Diagnóstico (CIEX)
M331,OTRAS DERMATOMIOSITIS,Diagnóstico (CIEX)
M332,POLIMIOSITIS,Diagnóstico (CIEX)
M339,"DERMATOPOLIMIOSITIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M340,ESCLEROSIS SISTEMICA PROGRESIVA,Diagnóstico (CIEX)
M341,SINDROME CR(E)ST,Diagnóstico (CIEX)
M342,ESCLEROSIS SISTEMICA INDUCIDA POR DROGAS O PRODUCTOS QUIMICOS,Diagnóstico (CIEX)
M348,OTRAS FORMAS DE ESCLEROSIS SISTEMICA,Diagnóstico (CIEX)
M349,"ESCLEROSIS SISTEMICA, NO ESPECIFICADA",Diagnóstico (CIEX)
M350,SINDROME SECO [SJÅGREN],Diagnóstico (CIEX)
M351,OTROS SINDROMES SUPERPUESTOS,Diagnóstico (CIEX)
M353,POLIMIALGIA REUMATICA,Diagnóstico (CIEX)
M352,ENFERMEDAD DE BEH?ET,Diagnóstico (CIEX)
M354,FASCITIS DIFUSA (EOSINOFILICA),Diagnóstico (CIEX)
M355,FIBROSCLEROSIS MULTIFOCAL,Diagnóstico (CIEX)
M356,PANICULITIS RECIDIVANTE [WEBER-CHRISTIAN],Diagnóstico (CIEX)
M357,SINDROME DE HIPERMOVILIDAD,Diagnóstico (CIEX)
M358,OTRAS ENFERMEDADES ESPECIFICADAS CON COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO,Diagnóstico (CIEX)
M359,"COMPROMISO SISTEMICO DEL TEJIDO CONJUNTIVO, NO ESPECIFICADO",Diagnóstico (CIEX)
M360,DERMATO (POLI) MIOSITIS EN ENFERMEDAD NEOPLASICA (C00-D48+),Diagnóstico (CIEX)
M361,ARTROPATIA EN ENFERMEDAD NEOPLASICA (C00-D48+),Diagnóstico (CIEX)
M362,ARTROPATIA HEMOFILICA (D66-D68+),Diagnóstico (CIEX)
M363,ARTROPATIA EN OTROS TRASTORNOS DE LA SANGRE (D50-D76+),Diagnóstico (CIEX)
M364,ARTROPATIA EN REACCIONES DE HIPERSENSIBILIDAD CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M368,TRASTORNOS SISTEMICOS DEL TEJIDO CONJUNTIVO EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA P,Diagnóstico (CIEX)
M400,CIFOSIS POSTURAL,Diagnóstico (CIEX)
M401,OTRAS CIFOSIS SECUNDARIAS,Diagnóstico (CIEX)
M402,OTRAS CIFOSIS Y LAS NO ESPECIFICADAS,Diagnóstico (CIEX)
M403,SINDROME DE ESPALDA PLANA,Diagnóstico (CIEX)
M404,OTRAS LORDOSIS,Diagnóstico (CIEX)
M405,LORDOSIS NO ESPECIFICADA,Diagnóstico (CIEX)
M411,ESCOLIOSIS IDIOPATICA JUVENIL,Diagnóstico (CIEX)
M412,OTRAS ESCOLIOSIS IDIOPATICAS,Diagnóstico (CIEX)
M410,ESCOLIOSIS IDIOPATICA INFANTIL,Diagnóstico (CIEX)
M413,ESCOLIOSIS TORACOGENICA,Diagnóstico (CIEX)
M414,ESCOLIOSIS NEUROMUSCULAR,Diagnóstico (CIEX)
M415,OTRAS ESCOLIOSIS SECUNDARIAS,Diagnóstico (CIEX)
M418,OTRAS FORMAS DE ESCOLIOSIS,Diagnóstico (CIEX)
M419,"ESCOLIOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M420,OSTEOCONDROSIS JUVENIL DE LA COLUMNA VERTEBRAL,Diagnóstico (CIEX)
M421,OSTEOCONDROSIS DE LA COLUMNA VERTEBRAL DEL ADULTO,Diagnóstico (CIEX)
M431,ESPONDILOLISTESIS,Diagnóstico (CIEX)
M432,OTRAS FUSIONES DE LA COLUMNA VERTEBRAL,Diagnóstico (CIEX)
M429,"OSTEOCONDROSIS VERTEBRAL, NO ESPECIFICADA",Diagnóstico (CIEX)
M430,ESPONDILOLISIS,Diagnóstico (CIEX)
M433,"SUBLUXACION ATLANTO - AXOIDEA RECURRENTE, CON MIELOPATIA",Diagnóstico (CIEX)
M434,OTRAS SUBLUXACIONES ATLANTO - AXOIDEAS RECURRENTES,Diagnóstico (CIEX)
M435,OTRAS SUBLUXACIONES VERTEBRALES RECURRENTES,Diagnóstico (CIEX)
M436,TORTICOLIS,Diagnóstico (CIEX)
M438,OTRAS DORSOPATIAS DEFORMANTES DE LA COLUMNA VERTEBRAL ESPECIFICADAS,Diagnóstico (CIEX)
M439,"DORSOPATIA DEFORMANTE, NO ESPECIFICADA",Diagnóstico (CIEX)
M45X,ESPONDILITIS ANQUILOSANTE,Diagnóstico (CIEX)
M462,OSTEOMIELITIS DE VERTEBRA,Diagnóstico (CIEX)
M463,INFECCION DE DISCO INTERVERTEBRAL (PIOGENA),Diagnóstico (CIEX)
M464,"DISCITIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M461,"SACROILIITIS, NO CLASIFICADA EN OTRA PARTE",Diagnóstico (CIEX)
M460,ENTESOPATIA VERTEBRAL,Diagnóstico (CIEX)
M465,OTRAS ESPONDILOPATIAS INFECCIOSAS,Diagnóstico (CIEX)
M468,OTRAS ESPONDILOPATIAS INFLAMATORIAS ESPECIFICADAS,Diagnóstico (CIEX)
M470,SINDROMES DE COMPRESION DE LA ARTERIA ESPINAL O VERTEBRAL ANTERIOR (G99.2*),Diagnóstico (CIEX)
M471,OTRAS ESPONDILOSIS CON MIELOPATIA,Diagnóstico (CIEX)
M469,"ESPONDILOPATIA INFLAMATORIA, NO ESPECIFICADA",Diagnóstico (CIEX)
M472,OTRAS ESPONDILOSIS CON RADICULOPATIA,Diagnóstico (CIEX)
M478,OTRAS ESPONDILOSIS,Diagnóstico (CIEX)
M479,"ESPONDILOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M480,ESTENOSIS ESPINAL,Diagnóstico (CIEX)
M481,HIPEROSTOSIS ANQUILOSANTE [FORESTIER],Diagnóstico (CIEX)
M482,"ESPONDILOPATIA INTERESPINOSA (VERTEBRAS ""EN BESO"")",Diagnóstico (CIEX)
M483,ESPONDILOPATIA TRAUMATICA,Diagnóstico (CIEX)
M484,FRACTURA DE VERTEBRA POR FATIGA,Diagnóstico (CIEX)
M485,"VERTEBRA COLAPSADA, NO CLASIFICADA EN OTRA PARTE",Diagnóstico (CIEX)
M488,OTRAS ESPONDILOPATIAS ESPECIFICADAS,Diagnóstico (CIEX)
M489,"ESPONDILOPATIA, NO ESPECIFICADA",Diagnóstico (CIEX)
M490,TUBERCULOSIS DE LA COLUMNA VERTEBRAL (A18.0+),Diagnóstico (CIEX)
M491,ESPONDILITIS POR BRUCELOSIS (A23.-+),Diagnóstico (CIEX)
M492,ESPONDILITIS POR ENTEROBACTERIAS (A01-A04+),Diagnóstico (CIEX)
M493,ESPONDILOPATIA EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PAR,Diagnóstico (CIEX)
M494,ESPONDILOPATIA NEUROPATICA,Diagnóstico (CIEX)
M495,VERTEBRA COLAPSADA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M498,ESPONDILOPATIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M501,TRASTORNO DE DISCO CERVICAL CON RADICULOPATIA,Diagnóstico (CIEX)
M500,TRASTORNO DE DISCO CERVICAL CON MIELOPATIA (G99.2*),Diagnóstico (CIEX)
M502,OTROS DESPLAZAMIENTOS DE DISCO CERVICAL,Diagnóstico (CIEX)
M503,OTRAS DEGENERACIONES DE DISCO CERVICAL,Diagnóstico (CIEX)
M508,OTROS TRASTORNOS DE DISCO CERVICAL,Diagnóstico (CIEX)
M509,"TRASTORNO DE DISCO CERVICAL, NO ESPECIFICADO",Diagnóstico (CIEX)
M510,"TRASTORNOS DE DISCOS INTERVERTEBRALES LUMBARES Y OTROS, CON MIELOPATIA (G99.2*)",Diagnóstico (CIEX)
M511,"TRASTORNOS DE DISCO LUMBAR Y OTROS, CON RADICULOPATIA",Diagnóstico (CIEX)
M512,OTROS DESPLAZAMIENTOS ESPECIFICADOS DE DISCO INTERVERTEBRAL,Diagnóstico (CIEX)
M513,OTRAS DEGENERACIONES ESPECIFICADAS DE DISCO INTERVERTEBRAL,Diagnóstico (CIEX)
M514,NODULOS DE SCHMORL,Diagnóstico (CIEX)
M518,OTROS TRASTORNOS ESPECIFICADOS DE LOS DISCOS INTERVERTEBRALES,Diagnóstico (CIEX)
M519,"TRASTORNO DE LOS DISCOS INTERVERTEBRALES, NO ESPECIFICADO",Diagnóstico (CIEX)
M530,SINDROME CERVICOCRANEAL,Diagnóstico (CIEX)
M531,SINDROME CERVICOBRAQUIAL,Diagnóstico (CIEX)
M533,"TRASTORNOS SACROCOCCIGEOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
M538,OTRAS DORSOPATIAS ESPECIFICADAS,Diagnóstico (CIEX)
M532,INESTABILIDAD DE LA COLUMNA VERTEBRAL,Diagnóstico (CIEX)
M539,"DORSOPATIA, NO ESPECIFICADA",Diagnóstico (CIEX)
M540,PANICULITIS QUE AFECTA REGIONES DEL CUELLO Y DE LA ESPALDA,Diagnóstico (CIEX)
M541,RADICULOPATIA,Diagnóstico (CIEX)
M542,CERVICALGIA,Diagnóstico (CIEX)
M543,CIATICA,Diagnóstico (CIEX)
M544,LUMBAGO CON CIATICA,Diagnóstico (CIEX)
M545,LUMBAGO NO ESPECIFICADO,Diagnóstico (CIEX)
M546,DOLOR EN LA COLUMNA DORSAL,Diagnóstico (CIEX)
M600,MIOSITIS INFECCIOSA,Diagnóstico (CIEX)
M548,OTRAS DORSALGIAS,Diagnóstico (CIEX)
M549,"DORSALGIA, NO ESPECIFICADA",Diagnóstico (CIEX)
M601,MIOSITIS INTERSTICIAL,Diagnóstico (CIEX)
M602,"GRANULOMA POR CUERPO EXTRANO EN TEJIDO BLANDO, NO CLASIFICADO EN OTRA PARTE",Diagnóstico (CIEX)
M608,OTRAS MIOSITIS,Diagnóstico (CIEX)
M609,"MIOSITIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M610,MIOSITIS OSIFICANTE TRAUMATICA,Diagnóstico (CIEX)
M611,MIOSITIS OSIFICANTE PROGRESIVA,Diagnóstico (CIEX)
M612,CALCIFICACION Y OSIFICACION PARALITICA DEL MUSCULO,Diagnóstico (CIEX)
M613,CALCIFICACION Y OSIFICACION DE LOS MUSCULOS ASOCIADAS CON QUEMADURAS,Diagnóstico (CIEX)
M614,OTRAS CALCIFICACIONES DEL MUSCULO,Diagnóstico (CIEX)
M615,OTRAS OSIFICACIONES DEL MUSCULO,Diagnóstico (CIEX)
M619,"CALCIFICACION Y OSIFICACION DEL MUSCULO, NO ESPECIFICADA",Diagnóstico (CIEX)
M620,DIASTASIS DEL MUSCULO,Diagnóstico (CIEX)
M621,OTROS DESGARROS (NO TRAUMATICOS) DEL MUSCULO,Diagnóstico (CIEX)
M622,INFARTO ISQUEMICO DEL MUSCULO,Diagnóstico (CIEX)
M623,SINDROME DE INMOVILIDAD (PARAPLEJICO),Diagnóstico (CIEX)
M624,CONTRACTURA MUSCULAR,Diagnóstico (CIEX)
M625,"ATROFIA Y DESGASTE MUSCULARES, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
M626,DISTENSION MUSCULAR,Diagnóstico (CIEX)
M628,OTROS TRASTORNOS ESPECIFICADOS DE LOS MUSCULOS,Diagnóstico (CIEX)
M629,"TRASTORNO MUSCULAR, NO ESPECIFICADO",Diagnóstico (CIEX)
M630,MIOSITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M631,MIOSITIS EN INFECCIONES POR PROTOZOARIOS Y PARASITOS CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M632,MIOSITIS EN OTRAS ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M633,MIOSITIS EN SARCOIDOSIS (D86.8+),Diagnóstico (CIEX)
M638,OTROS TRASTORNOS DE LOS MUSCULOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M650,ABSCESO DE VAINA TENDINOSA,Diagnóstico (CIEX)
M651,OTRAS (TENO)SINOVITIS INFECCIOSAS,Diagnóstico (CIEX)
M652,TENDINITIS CALCIFICADA,Diagnóstico (CIEX)
M653,DEDO EN GATILLO,Diagnóstico (CIEX)
M654,TENOSINOVITIS DE ESTILOIDES RADIAL [DE QUERVAIN],Diagnóstico (CIEX)
M658,OTRAS SINOVITIS Y TENOSINOVITIS,Diagnóstico (CIEX)
M659,"SINOVITIS Y TENOSINOVITIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M660,RUPTURA DE QUISTE SINOVIAL POPLITEO,Diagnóstico (CIEX)
M661,RUPTURA DE LA SINOVIA,Diagnóstico (CIEX)
M662,RUPTURA ESPONTANEA DE TENDONES EXTENSORES,Diagnóstico (CIEX)
M663,RUPTURA ESPONTANEA DE TENDONES FLEXORES,Diagnóstico (CIEX)
M664,RUPTURA ESPONTANEA DE OTROS TENDONES,Diagnóstico (CIEX)
M665,RUPTURA ESPONTANEA DE TENDON NO ESPECIFICADO,Diagnóstico (CIEX)
M670,ACORTAMIENTO DEL TENDON DE AQUILES (ADQUIRIDO),Diagnóstico (CIEX)
M671,OTRAS CONTRACTURAS DE TENDON (VAINA),Diagnóstico (CIEX)
M672,"HIPERTROFIA SINOVIAL, NO CLASIFICADA EN OTRA PARTE",Diagnóstico (CIEX)
M673,SINOVITIS TRANSITORIA,Diagnóstico (CIEX)
M674,GANGLION,Diagnóstico (CIEX)
M678,OTROS TRASTORNOS ESPECIFICADOS DE LA SINOVIA Y DEL TENDON,Diagnóstico (CIEX)
M679,"TRASTORNO SINOVIAL Y TENDINOSO, NO ESPECIFICADO",Diagnóstico (CIEX)
M680,SINOVITIS Y TENOSINOVITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M688,OTROS TRASTORNOS SINOVIALES Y TENDINOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M700,SINOVITIS CREPITANTE CRONICA DE LA MANO Y DE LA MUNECA,Diagnóstico (CIEX)
M701,BURSITIS DE LA MANO,Diagnóstico (CIEX)
M702,BURSITIS DEL OLECRANON,Diagnóstico (CIEX)
M703,OTRAS BURSITIS DEL CODO,Diagnóstico (CIEX)
M705,OTRAS BURSITIS DE LA RODILLA,Diagnóstico (CIEX)
M706,BURSITIS DEL TROCANTER,Diagnóstico (CIEX)
M704,OTRAS BURSITIS PRERROTULIANAS,Diagnóstico (CIEX)
M707,OTRAS BURSITIS DE LA CADERA,Diagnóstico (CIEX)
M708,"OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS RELACIONADOS CON EL USO, EL USO EXCESIVO Y LA PR",Diagnóstico (CIEX)
M709,"TRASTORNO NO ESPECIFICADO DE LOS TEJIDOS BLANDOS RELACIONADO CON EL USO, EL USO EXCESIVO",Diagnóstico (CIEX)
M710,ABSCESO DE LA BOLSA SINOVIAL,Diagnóstico (CIEX)
M711,OTRAS BURSITIS INFECCIOSAS,Diagnóstico (CIEX)
M712,QUISTE SINOVIAL DEL HUECO POPLITEO [DE BAKER],Diagnóstico (CIEX)
M714,DEPOSITO DE CALCIO EN LA BOLSA SEROSA,Diagnóstico (CIEX)
M713,OTROS QUISTES DE LA BOLSA SEROSA,Diagnóstico (CIEX)
M715,"OTRAS BURSITIS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
M718,OTROS TRASTORNOS ESPECIFICADOS DE LA BOLSA SEROSA,Diagnóstico (CIEX)
M719,"BURSOPATIA, NO ESPECIFICADA",Diagnóstico (CIEX)
M720,FIBROMATOSIS DE LA APONEUROSIS PALMAR [DUPUYTREN],Diagnóstico (CIEX)
M721,NODULOS INTERFALANGICOS,Diagnóstico (CIEX)
M722,FIBROMATOSIS DE LA APONEUROSIS PLANTAR,Diagnóstico (CIEX)
M723,FASCITIS NODULAR,Diagnóstico (CIEX)
M724,FIBROMATOSIS SEUDOSARCOMATOSA,Diagnóstico (CIEX)
M728,OTROS TRASTORNOS FIBROBLASTICOS,Diagnóstico (CIEX)
M725,"FASCITIS, NO CLASIFICADA EN OTRA PARTE",Diagnóstico (CIEX)
M729,"TRASTORNO FIBROBLASTICO, NO ESPECIFICADO",Diagnóstico (CIEX)
M730,BURSITIS GONOCOCICA (A54.4+),Diagnóstico (CIEX)
M731,BURSITIS SIFILITICA (A52.7+),Diagnóstico (CIEX)
M738,OTROS TRASTORNOS DE LOS TEJIDOS BLANDOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,Diagnóstico (CIEX)
M750,CAPSULITIS ADHESIVA DEL HOMBRO,Diagnóstico (CIEX)
M751,SINDROME DEL MANGUITO ROTATORIO,Diagnóstico (CIEX)
M752,TENDINITIS DEL BICEPS,Diagnóstico (CIEX)
M753,TENDINITIS CALCIFICANTE DEL HOMBRO,Diagnóstico (CIEX)
M754,SINDROME DE ABDUCCION DOLOROSA DEL HOMBRO,Diagnóstico (CIEX)
M755,BURSITIS DEL HOMBRO,Diagnóstico (CIEX)
M758,OTRAS LESIONES DEL HOMBRO,Diagnóstico (CIEX)
M759,"LESION DEL HOMBRO, NO ESPECIFICADA",Diagnóstico (CIEX)
M760,TENDINITIS DEL GLUTEO,Diagnóstico (CIEX)
M761,TENDINITIS DEL PSOAS,Diagnóstico (CIEX)
M762,ESPOLON DE LA CRESTA ILIACA,Diagnóstico (CIEX)
M763,SINDROME DEL TENDON DEL TENSOR DE LA FASCIA LATA,Diagnóstico (CIEX)
M764,BURSITIS TIBIAL COLATERAL [PELLEGRINI-STIEDA],Diagnóstico (CIEX)
M765,TENDINITIS ROTULIANA,Diagnóstico (CIEX)
M766,TENDINITIS AQUILIANA,Diagnóstico (CIEX)
M767,TENDINITIS PERONEAL,Diagnóstico (CIEX)
M768,"OTRAS ENTESOPATIAS DEL MIEMBRO INFERIOR, EXCLUIDO EL PIE",Diagnóstico (CIEX)
M769,"ENTESOPATIA DEL MIEMBRO INFERIOR, NO ESPECIFICADA",Diagnóstico (CIEX)
M770,EPICONDILITIS MEDIA,Diagnóstico (CIEX)
M771,EPICONDILITIS LATERAL,Diagnóstico (CIEX)
M772,PERIARTRITIS DE LA MUNECA,Diagnóstico (CIEX)
M773,ESPOLON CALCANEO,Diagnóstico (CIEX)
M774,METATARSALGIA,Diagnóstico (CIEX)
M775,OTRAS ENTESOPATIAS DEL PIE,Diagnóstico (CIEX)
M778,"OTRAS ENTESOPATIAS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
M779,"ENTESOPATIA, NO ESPECIFICADA",Diagnóstico (CIEX)
M790,"REUMATISMO, NO ESPECIFICADO",Diagnóstico (CIEX)
M791,MIALGIA,Diagnóstico (CIEX)
M792,"NEURALGIA Y NEURITIS, NO ESPECIFICADAS",Diagnóstico (CIEX)
M793,"PANICULITIS, NO ESPECIFICADA",Diagnóstico (CIEX)
M794,HIPERTROFIA DE PAQUETE ADIPOSO (INFRARROTULIANO),Diagnóstico (CIEX)
M795,CUERPO EXTRANO RESIDUAL EN TEJIDO BLANDO,Diagnóstico (CIEX)
M796,DOLOR EN MIEMBRO,Diagnóstico (CIEX)
