Código,Descripción,Tipo Descripción
A156,"PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Diagnóstico (CIEX)
A154,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOG",Diagnóstico (CIEX)
A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Diagnóstico (CIEX)
A160,TBC PULMONAR BK (-) CULTIVO (-),Diagnóstico (CIEX)
A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE",Diagnóstico (CIEX)
A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Diagnóstico (CIEX)
A161,"TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO",Diagnóstico (CIEX)
A162,"TUBERCULOSIS DEL PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",Diagnóstico (CIEX)
A163,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIO",Diagnóstico (CIEX)
A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA",Diagnóstico (CIEX)
A165,"PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",Diagnóstico (CIEX)
A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLO",Diagnóstico (CIEX)
A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION",Diagnóstico (CIEX)
A169,TBC RESPIRATORIA NO ESPECIFICADA / TBC PULMONAR SIN BACILOSCOPIA,Diagnóstico (CIEX)
A170,MENINGITIS TUBERCULOSA (G01*),Diagnóstico (CIEX)
A171,TUBERCULOMA MENINGEO (G07*),Diagnóstico (CIEX)
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,Diagnóstico (CIEX)
A179,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)",Diagnóstico (CIEX)
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,Diagnóstico (CIEX)
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,Diagnóstico (CIEX)
A182,LINFADENOPATIA PERIFERICA TUBERCULOSA,Diagnóstico (CIEX)
A183,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS",Diagnóstico (CIEX)
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO,Diagnóstico (CIEX)
A185,TUBERCULOSIS DEL OJO,Diagnóstico (CIEX)
A186,TUBERCULOSIS DEL OIDO,Diagnóstico (CIEX)
A187,TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*),Diagnóstico (CIEX)
A188,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS,Diagnóstico (CIEX)
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,Diagnóstico (CIEX)
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES,Diagnóstico (CIEX)
A192,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",Diagnóstico (CIEX)
A198,OTRAS TUBERCULOSIS MILIARES,Diagnóstico (CIEX)
A199,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A200,PESTE BUBONICA,Diagnóstico (CIEX)
A201,PESTE CELULOCUTANEA,Diagnóstico (CIEX)
A202,PESTE MUMONICA,Diagnóstico (CIEX)
A203,MENINGITIS POR PESTE,Diagnóstico (CIEX)
A207,PESTE SEPTICEMICA,Diagnóstico (CIEX)
A208,OTRAS FORMAS DE PESTE,Diagnóstico (CIEX)
A209,PESTE NO ESPECIFICADA,Diagnóstico (CIEX)
A210,TULAREMIA ULCEROGLANDULAR,Diagnóstico (CIEX)
A211,TULAREMIA OCULOGLANDULAR,Diagnóstico (CIEX)
A212,TULAREMIA PULMONAR,Diagnóstico (CIEX)
A213,TULAREMIA GASTROINTESTINAL,Diagnóstico (CIEX)
A217,TULAREMIA GENERALIZADA,Diagnóstico (CIEX)
A218,OTRAS FORMAS DE TULAREMIA,Diagnóstico (CIEX)
A219,"TULAREMIA, NO ESPECIFICADA",Diagnóstico (CIEX)
A220,CARBUNCO CUTANEO,Diagnóstico (CIEX)
A221,CARBUNCO PULMONAR,Diagnóstico (CIEX)
A222,CARBUNCO GASTROINTESTINAL,Diagnóstico (CIEX)
A227,CARBUNCO SEPTICEMICO,Diagnóstico (CIEX)
A228,OTRAS FORMAS DE CARBUNCO,Diagnóstico (CIEX)
A229,"CARBUNCO, NO ESPECIFICADO",Diagnóstico (CIEX)
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,Diagnóstico (CIEX)
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,Diagnóstico (CIEX)
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,Diagnóstico (CIEX)
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,Diagnóstico (CIEX)
A238,OTRAS BRUCELOSIS,Diagnóstico (CIEX)
A239,BRUCELOSIS NO ESPECIFICADA,Diagnóstico (CIEX)
A240,MUERMO,Diagnóstico (CIEX)
A241,MELIOIDOSIS AGUDA Y FULMINANTE,Diagnóstico (CIEX)
A242,MELIOIDOSIS SUBAGUDA Y CRONICA,Diagnóstico (CIEX)
A243,OTRAS MELIOIDOSIS,Diagnóstico (CIEX)
A244,"MELIOIDOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
A270,LEPTOSPIROSIS ICTEROHEMORRAGICA,Diagnóstico (CIEX)
A278,OTRAS FORMAS DE LEPTOSPIROSIS,Diagnóstico (CIEX)
A267,SEPTICEMIA POR ERYSIPELOTHRIX,Diagnóstico (CIEX)
A268,OTRAS FORMAS DE ERISIPELOIDE,Diagnóstico (CIEX)
A269,"ERISIPELOIDE, NO ESPECIFICADA",Diagnóstico (CIEX)
A250,ESPIRILOSIS,Diagnóstico (CIEX)
A260,ERISIPELOIDE CUTANEO,Diagnóstico (CIEX)
A251,ESTREPTOBACILOSIS,Diagnóstico (CIEX)
A259,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA",Diagnóstico (CIEX)
A279,LEPTOSPIROSIS NO ESPECIFICADA,Diagnóstico (CIEX)
A282,YERSINIOSIS EXTRAINTESTINAL,Diagnóstico (CIEX)
A288,"OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
A281,ENFERMEDAD POR RASGUNO DE GATO,Diagnóstico (CIEX)
A280,PASTEURELOSIS,Diagnóstico (CIEX)
A289,"ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A300,LEPRA INDETERMINADA,Diagnóstico (CIEX)
A301,LEPRA TUBERCULOIDE,Diagnóstico (CIEX)
